title;answer_1;answer_2;answer_3;answer_4;right_answer;subcategory_id
Что не относится к стилю танцев?;Румба; Сальса;Ча-ча-ча;Брют;4;2
Какой город изображен на купюре номиналом 500 российских рублей?;Санкт-Петербург; Нижний Новгород; Казань;Архангельск;4;1
Что является графиком квадратичной функции?;Гипербола; Прямая линия; Синусоида;Парабола;4;2
Сколько лет длилась Столетняя война?;100; 118; 99;116;4;1
Чем былинный Садко сводил с ума морскую царевну?;Скандалами; Цимбалами; Шутками;Гуслями;4;2
В какой игре используется мяч овальной формы?;Футбол; Гандбол; Боулинг;Регби;4;1
Какая марка машин продвигается с рекламным лозунгом "управляй мечтой"?;Lexus; Audi; Volvo;Toyota;4;2
Как еще называют футбольного вратаря?;Фолл; Аутсайдер; Дриблер;Голкипер;4;1
Какой фрукт получили в Индии, скрестив апельсин с лимоном?;Маракуйу; Гуаву; Помело;Грейпфрут;4;2
Как еще называют неверующего человека?;Атомист; Аметист; Анархист;Атеист;4;1
Какой из этих российских городов не имеет титула "Город-Герой"?;Москва; Тула; Смоленск;Пенза;4;2
Какая из этих столиц не имеет титула "Город-Герой"?;Минск; Москва; Киев;Варшава;4;1
Сколько звезд на флаге США?;49; 53; 77;50;4;2
Планета происхождения Лунного камня?;Луна; Марс; Солнце;Земля;4;1
Как называются первые три общие карты в покере?;Терн; Ривер; Префлоп;Флоп;4;2
Как называется последняя сдаваемая карта прикупа в покере?;Терн; Шоудаун; Префлоп;Ривер;4;1
Кто построил самый устойчивый домик в сказке "3 поросенка"?;Ниф-Ниф; Волк;  Нуф-Нуф ;Наф-Наф;4;2
Какой обитатель водной стихии заслужил имя отшельника?;Бобр; Карп; Осьминог;Рак;4;1
Какую шахматную фигуру называют "королевой"?;Ладью; Пешку; Коня;Ферзя;4;2
Как звали легионера, ударившего копьём Иисуса Христа, висевшего на кресте?;Косиопей; Домициан; Нерон;Лонгин;4;1
Какова продолжительность одного тайма в футболе?;30 минут; 1 час; 40 минут;45 минут;4;2
Сколько пар хромосом распределяется на одного (здорового) человека?;21; 28; 14;23;4;1
Какой из этих городов имеет титул "Город-Герой"?;Солигорск; Владивосток; Санкт-Петербург;Керчь;4;2
Как называется остроконечная палка, которой погоняли животных?;Мотивация; Цель; Причина;Стимул;4;1
Какой город является столицей Кубы?;Таити; Гана; Гагры;Гавана;4;2
Что в покере подразумевается под словом "Колл"?;Повышение; Отказ; Тактика;Уравнивание;4;1
Какого числа празднуют Всемирный День Авиации и Космонавтики?;1 апреля; 2 августа; 9 мая;12 апреля;4;2
Жители какой страны танцуют чардаш?;Чехии; Румынии; Словакии;Венгрии;4;1
Какого числа отмечается международный День ребенка?;1 июля; 1 марта; 1 сентября;1 июня;4;2
Как называется устройство, позволяющее видеть удаленные небесные тела?;Микроскоп; Эндоскоп; Кинескоп;Телескоп;4;1
Кто является автором рассказала "Муму"?;Ф.М. Достоевский; Н.А. Некрасов; А.Н. Островский;И.С. Тургенев;4;2
Кого первым встречает героиня сказки "Гуси-лебеди", отправившаяся на поиски брата?;Яблоню; Реку; Избушку;Печь;4;1
Что выращивали для продажи в столице братья из сказки Ершова "Конек-горбунок"?;Кукурузу; Овес; Подсолнухи;Пшеницу;4;2
К какой стихии относится знак Зодиака Водолей?;Земля; Вода; Огонь;Воздух;4;1
К какой стихии относится знак Зодиака Овен?;Земля; Воздух; Вода;Огонь;4;2
К какой стихии относится знак Зодиака Скорпион?;Земля; Воздух; Огонь;Вода;4;1
К какой стихии относится знак Зодиака Дева?;Воздух; Огонь; Вода;Земля;4;2
Как называется подъемный механизм колодца?;Оголовка; Навес; Ведро;Ворот;4;1
